Country,Latitude,Longitude,Confirmed,Deaths,Recovered,GDP,GDP Per Capita,Population,Median Age,Hospital Bed Per 1000 Population Rate,Life Expectancy (years),Unemployment Rate (%),2017 Health Budget per Capita ($),Poverty (% of Pop),Literacy Rate (% of Pop),Gender (% of male)
Cameroon,3.848,11.5021,40.0,0.0,0.0,42047000000.0,1583.9379999999999,26545862,18.6,1.3,59.4,4.3,68.0,30.0,75.0,50.2488
Canada,51.2538,-85.3232,1465.0,21.0,10.0,1832490000000.0,48552.8727,37742154,42.4,2.7,82.0,6.3,4755.0,9.4,0.0,49.4949
Cape Verde,16.5388,-23.0418,3.0,0.0,0.0,2208000000.0,3971.3159,555987,25.8,2.1,72.7,9.0,168.0,30.0,86.8,48.4536
Cayman Islands,0.0,0.0,0.0,0.0,0.0,0.0,58490.0129,65722,40.2,0.0,81.4,4.0,0.0,0.0,98.9,48.7179
Central African Republic,6.6111,20.9394,3.0,0.0,0.0,2485000000.0,514.5176,4829767,19.8,1.0,53.3,6.9,24.0,62.0,36.8,49.7487
Chad,15.4542,18.7322,1.0,0.0,0.0,12547000000.0,763.8563,16425863,15.8,0.0,57.5,0.0,30.0,46.7,22.3,49.4949
Chile,-35.6751,-71.543,632.0,1.0,8.0,313561000000.0,16402.893,19116201,34.8,2.2,79.1,6.7,1382.0,14.4,96.9,49.2386
China,30.9756,112.2707,81397.0,3265.0,72362.0,15468100000000.0,10746.7828,1439323775,37.7,4.2,75.8,3.9,441.0,3.3,96.4,51.4563
Cocos (Keeling) Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
Colombia,4.5709,-74.2973,231.0,2.0,3.0,352810000000.0,6933.7648,50882890,30.4,1.5,76.2,9.3,459.0,28.0,94.7,49.4949
Comoros,0.0,0.0,0.0,0.0,0.0,773000000.0,888.9134,869601,20.2,2.2,64.9,6.5,59.0,44.8,77.8,48.4536
"Congo, Democratic Republic Of The",-4.0383,21.7587,30.0,1.0,0.0,52475000000.0,585.9109,89561403,18.8,0.0,58.1,0.0,19.0,63.0,77.0,50.0
"Congo, Republic Of The",-0.228,15.8277,3.0,0.0,0.0,11367000000.0,2059.953,5518087,19.6,0.0,60.3,36.0,50.0,46.5,79.3,50.2488
Cook Islands,0.0,0.0,0.0,0.0,0.0,0.0,16522.1017,17564,37.2,0.0,76.2,13.1,589.0,0.0,0.0,51.4563
Costa Rica,9.7489,-83.7534,134.0,2.0,2.0,63460000000.0,12457.5049,5094117,31.7,1.1,78.9,8.1,869.0,21.7,97.8,50.2488
Croatia,45.1,15.2,254.0,1.0,5.0,64590000000.0,15733.4468,4105267,43.3,5.6,76.3,12.4,902.0,19.5,99.3,48.1865
Cuba,21.5218,-77.7812,35.0,1.0,0.0,0.0,7918.4021,11326616,41.8,5.2,78.9,2.6,988.0,0.0,99.8,49.7487
Curacao,0.0,0.0,0.0,0.0,0.0,0.0,19022.4444,164093,36.3,0.0,78.6,13.0,0.0,0.0,0.0,47.9167
Cyprus,35.1264,33.4299,95.0,1.0,3.0,26348000000.0,21822.8381,1207359,37.2,3.4,79.0,11.1,1731.0,0.0,99.1,50.9804
Czech Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1476.0,0.0,0.0,0.0
Czechia,49.8175,15.473,1120.0,1.0,6.0,259736000000.0,24254.035,10708981,42.5,6.5,78.9,2.9,0.0,9.7,99.0,49.2386
Denmark,56.2639,9.5018,1514.0,13.0,1.0,364546000000.0,62937.3768,5792201,41.9,2.5,81.0,5.7,5800.0,13.4,0.0,49.7487
Djibouti,11.8251,42.5903,1.0,0.0,0.0,2599000000.0,2630.5668,988000,24.2,1.4,64.0,40.0,70.0,23.0,0.0,45.6522
Dominica,15.415,-61.371,1.0,0.0,0.0,590000000.0,8196.0381,71986,34.0,3.8,77.4,23.0,440.0,29.0,0.0,50.495
Dominican Republic,18.7357,-70.1627,202.0,3.0,0.0,90459000000.0,8338.8413,10847910,27.3,1.6,71.3,5.1,433.0,30.5,93.8,50.495
East Timor,-8.55,125.56,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ecuador,-1.8312,-78.1834,789.0,14.0,3.0,107730000000.0,6106.0857,17643054,28.1,1.5,77.1,4.6,518.0,21.5,94.4,49.7487
Egypt,26.8206,30.8025,327.0,14.0,56.0,331360000000.0,3238.0117,102334404,23.9,1.6,73.2,12.2,106.0,27.8,80.8,50.9804
El Salvador,13.7942,-88.8965,3.0,0.0,0.0,28202000000.0,4347.997,6486205,27.6,1.3,75.1,7.0,282.0,32.7,88.1,47.9167
Equatorial Guinea,1.6508,10.2679,6.0,0.0,0.0,12263000000.0,8740.6494,1402985,19.9,2.1,65.0,8.6,301.0,44.0,95.3,50.0
Eritrea,15.1794,39.7823,1.0,0.0,0.0,8116000000.0,2288.5044,3546421,19.9,0.7,65.6,5.8,33.0,50.0,73.8,49.2386
Estonia,58.5953,25.0136,326.0,0.0,2.0,33235000000.0,25053.9941,1326535,43.0,5.0,77.0,5.8,1301.0,21.1,99.8,46.8085
Eswatini,-26.5225,31.4659,4.0,0.0,0.0,4663000000.0,4104.75,1136000,23.2,2.1,57.2,28.0,225.0,63.0,87.5,47.3684
Ethiopia,9.145,40.4897,11.0,0.0,4.0,99371000000.0,864.3693,114963588,18.0,0.3,63.0,17.5,25.0,29.6,49.1,49.7487
