Country,Latitude,Longitude,Confirmed,Deaths,Recovered,GDP,GDP Per Capita,Population,Median Age,Hospital Bed Per 1000 Population Rate,Life Expectancy (years),Unemployment Rate (%),2017 Health Budget per Capita ($),Poverty (% of Pop),Literacy Rate (% of Pop),Gender (% of male)
Puerto Rico,18.2,-66.5,0.0,1.0,0.0,104117000000.0,36393.691,2860853,42.2,0.0,81.0,10.8,0.0,0.0,93.3,47.3684
Qatar,25.3548,51.1839,494.0,0.0,33.0,204008000000.0,70810.2211,2881053,33.4,1.2,79.0,8.9,1649.0,0.0,97.3,77.3243
Reunion,-21.1151,55.5364,47.0,0.0,0.0,22300000000.0,25900.0,859959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Romania,45.9432,24.9668,433.0,3.0,64.0,263133000000.0,13677.9929,19237691,41.6,6.3,75.6,4.9,555.0,22.4,98.8,48.7179
Russia,61.524,105.3188,367.0,0.0,16.0,1667460000000.0,11426.088,145934462,39.8,8.2,71.3,5.2,586.0,13.3,99.7,46.2366
Rwanda,-1.9403,29.8739,19.0,0.0,0.0,11062000000.0,854.0622,12952218,19.2,0.0,64.5,2.7,49.0,39.1,70.5,48.9796
Saint Barthelemy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,44.7,0.0,0.0,0.0,0.0,0.0,0.0,53.0516
"Saint Helena, Ascension, And Tristan Da Cunha",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,42.4,0.0,79.8,14.0,0.0,0.0,0.0,50.2488
Saint Kitts And Nevis,0.0,0.0,0.0,0.0,0.0,1118000000.0,21015.4326,53199,35.5,4.8,76.2,4.5,903.0,0.0,0.0,50.0
Saint Lucia,13.9094,-60.9789,2.0,0.0,0.0,2069000000.0,11267.4062,183627,35.5,1.3,78.1,20.0,460.0,0.0,0.0,48.7179
Saint Martin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,32.8,0.0,0.0,0.0,0.0,0.0,0.0,48.1865
Saint Pierre And Miquelon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,47.2,0.0,80.7,8.7,0.0,0.0,0.0,48.7179
Saint Vincent And The Grenadines,0.0,0.0,1.0,0.0,0.0,903000000.0,8139.5349,110940,34.2,2.6,75.8,18.8,321.0,0.0,0.0,50.9804
Samoa,0.0,0.0,0.0,0.0,0.0,960000000.0,4838.3683,198414,24.8,0.0,74.2,5.2,233.0,0.0,99.0,50.9804
San Marino,43.9424,12.4578,160.0,20.0,4.0,1672000000.0,49276.4728,33931,44.7,3.8,83.4,8.1,3362.0,0.0,0.0,48.4536
Sao Tome And Principe,0.0,0.0,0.0,0.0,0.0,527000000.0,2404.6469,219159,18.7,2.9,65.7,12.2,120.0,66.2,74.9,50.0
Saudi Arabia,23.8859,45.0792,511.0,0.0,16.0,790062000000.0,22693.8854,34813871,29.9,2.7,75.7,6.0,0.0,0.0,94.7,56.5217
Senegal,14.4974,-14.4524,67.0,0.0,5.0,28062000000.0,1675.9509,16743927,19.0,0.3,62.5,48.0,55.0,46.7,51.9,48.4536
Serbia,44.0165,21.0059,222.0,2.0,1.0,56886000000.0,6510.6541,8737371,42.8,5.7,75.9,14.1,529.0,8.9,98.8,48.7179
Seychelles,-4.6796,55.492,7.0,0.0,0.0,1739000000.0,17682.2882,98347,35.8,3.6,75.2,3.0,792.0,39.3,91.8,51.4563
Sierra Leone,0.0,0.0,0.0,0.0,0.0,4221000000.0,529.1474,7976983,19.1,0.0,59.0,15.0,66.0,70.2,48.1,48.7179
Singapore,1.3521,103.8198,455.0,2.0,144.0,391875000000.0,66983.2635,5850342,34.9,2.4,85.5,2.2,2619.0,0.0,97.0,48.9796
Sint Maarten,0.0,0.0,0.0,0.0,0.0,0.0,25003.8959,42876,41.2,0.0,78.5,12.0,0.0,0.0,0.0,49.4949
Slovakia,48.669,19.699,185.0,1.0,7.0,117399000000.0,21503.0583,5459642,41.0,5.8,77.4,8.1,1186.0,12.3,0.0,48.4536
Slovenia,46.1512,14.9955,414.0,2.0,0.0,58213000000.0,28001.3161,2078938,44.2,4.6,81.2,6.6,1920.0,13.9,99.7,49.7487
Solomon Islands,0.0,0.0,0.0,0.0,0.0,1607000000.0,2339.5508,686883,22.8,1.4,75.8,0.0,101.0,0.0,84.1,50.9804
Somalia,5.1521,46.1996,1.0,0.0,0.0,8341000000.0,524.8149,15893222,18.2,8.7,53.2,0.0,0.0,0.0,0.0,50.2488
South Africa,-30.5595,22.9375,274.0,0.0,0.0,386727000000.0,6520.579000000001,59308690,27.4,0.0,64.1,27.5,499.0,16.6,94.4,49.4949
South Sudan,0.0,0.0,0.0,0.0,0.0,2796000000.0,249.7828,11193725,18.1,0.0,0.0,0.0,23.0,66.0,27.0,51.4563
Spain,40.4637,-3.7492,28768.0,1772.0,2575.0,1497080000000.0,32019.8291,46754778,43.1,3.0,81.8,17.2,2506.0,21.1,98.3,49.4949
Sri Lanka,7.8731,80.7718,82.0,0.0,3.0,89942000000.0,4200.2967,21413249,33.1,3.6,77.1,4.4,159.0,6.7,91.9,48.7179
Sudan,12.8628,30.2176,2.0,1.0,0.0,0.0,1890.2804,43849260,17.9,0.8,65.8,19.6,194.0,46.5,75.9,50.2488
Suriname,3.9193,-56.0278,5.0,0.0,0.0,3919000000.0,6680.5084,586632,30.2,3.1,72.8,8.9,339.0,70.0,95.6,50.2488
Swaziland,0.0,0.0,0.0,0.0,0.0,4812000000.0,4147.6895,1160164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sweden,60.1282,18.6435,1934.0,21.0,16.0,576720000000.0,57105.1458,10099265,41.1,2.4,82.2,6.7,5905.0,15.0,0.0,50.0
Switzerland,46.8182,8.2275,7245.0,98.0,131.0,740702000000.0,85584.5582,8654622,42.5,4.7,82.7,3.2,9956.0,6.6,0.0,49.2386
Syria,34.8021,38.9968,1.0,0.0,0.0,0.0,1266.4138,17500658,24.5,1.5,75.2,50.0,0.0,82.5,86.4,50.2488
Taiwan,23.7,121.0,169.0,2.0,28.0,633695000000.0,26607.0868,23816775,41.3,0.0,80.4,3.8,0.0,1.5,98.5,49.4949
Tajikistan,0.0,0.0,0.0,0.0,0.0,7838000000.0,821.7962,9537645,24.8,4.8,68.4,2.4,58.0,31.5,99.8,49.7487
Tanzania,-6.369,34.8888,12.0,0.0,0.0,64888000000.0,1086.2786,59734218,17.9,0.7,63.1,10.3,34.0,22.8,77.9,50.0
Thailand,15.87,100.9925,599.0,1.0,44.0,547431000000.0,7842.8535,69799978,38.1,2.1,75.1,0.7,247.0,7.2,92.9,48.9796
The Gambia,13.4667,-16.6,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Timor-Leste,-8.8742,125.7275,1.0,0.0,0.0,3413000000.0,2588.6556,1318445,19.1,5.9,68.7,4.4,83.0,41.8,67.5,50.0
Togo,8.6195,0.8248,16.0,0.0,1.0,6132000000.0,740.6939,8278724,19.9,0.7,65.8,6.9,38.0,55.1,63.7,49.4949
Tonga,0.0,0.0,0.0,0.0,0.0,512000000.0,4844.127,105695,23.3,2.6,76.6,1.1,222.0,22.5,99.4,50.2488
Trinidad And Tobago,0.0,0.0,50.0,0.0,1.0,23235000000.0,16602.5003,1399487,36.6,3.0,73.4,4.9,1124.0,20.0,99.0,50.7389
Tunisia,33.8869,9.5375,75.0,3.0,1.0,35150000000.0,2974.1207,11818618,32.0,2.2,75.9,15.5,251.0,15.5,81.8,49.7487
Turkey,38.9637,35.2433,1236.0,30.0,0.0,809555000000.0,9598.8138,84339067,31.4,2.7,75.3,10.9,445.0,21.9,96.2,50.2488
Turkmenistan,0.0,0.0,0.0,0.0,0.0,57059000000.0,9460.638,6031200,28.3,7.4,70.7,11.0,456.0,0.2,99.7,49.4949
Turks And Caicos Islands,0.0,0.0,0.0,0.0,0.0,0.0,23698.9047,38717,33.8,0.0,80.1,10.0,0.0,0.0,0.0,50.495
Tuvalu,0.0,0.0,0.0,0.0,0.0,53000000.0,4494.5726,11792,26.0,0.0,67.2,0.0,622.0,26.3,0.0,49.4949
Uganda,1.3733,32.2903,1.0,0.0,0.0,33620000000.0,735.0079,45741007,15.9,0.5,56.3,9.4,39.0,21.4,78.4,49.7487
Ukraine,48.3794,31.1656,73.0,3.0,1.0,147170000000.0,3365.1347,43733762,40.8,8.8,72.4,9.2,177.0,3.8,99.8,46.2366
United Arab Emirates,23.4241,53.8478,153.0,2.0,38.0,449130000000.0,45410.6921,9890402,37.2,1.2,78.7,1.6,1357.0,19.5,93.8,72.5275
United Kingdom,55.3781,-3.436,5741.0,282.0,67.0,2927080000000.0,43117.5725,67886011,40.5,2.8,80.9,4.4,3859.0,15.0,0.0,49.7487
United States,42.1657,-74.9481,33276.0,417.0,178.0,22198100000000.0,67063.2695,331002651,38.2,2.9,80.1,4.4,10246.0,15.1,0.0,49.2386
Uruguay,-32.5228,-55.7658,135.0,0.0,0.0,63421000000.0,18257.3199,3473730,35.1,2.8,77.6,7.6,1592.0,9.7,98.6,48.4536
Uzbekistan,41.3775,64.5853,43.0,0.0,0.0,55482000000.0,1657.7031,33469203,29.1,4.0,74.3,5.0,99.0,14.0,100.0,49.7487
Vanuatu,0.0,0.0,0.0,0.0,0.0,994000000.0,3236.2565,307145,22.3,0.0,74.0,1.7,106.0,0.0,85.2,50.0
Venezuela,6.4238,-66.5897,70.0,0.0,15.0,70106000000.0,2465.4012,28435940,28.7,0.8,76.2,27.1,94.0,19.7,97.1,49.7487
Vietnam,14.0583,108.2772,113.0,0.0,17.0,282372000000.0,2900.9258,97338579,30.9,2.6,73.9,2.2,130.0,8.0,94.5,50.2488
Virgin Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,41.3,0.0,79.5,10.4,0.0,28.9,0.0,47.644
Wallis And Futuna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,32.8,0.0,80.0,8.8,0.0,0.0,0.0,50.7389
West Bank,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21.4,1.3,75.4,27.9,0.0,18.0,96.9,50.9804
Western Sahara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21.5,0.0,63.8,0.0,0.0,0.0,0.0,49.7487
Yemen,0.0,0.0,0.0,0.0,0.0,31385000000.0,1052.2711,29825964,19.8,0.7,66.2,27.0,0.0,54.0,70.1,50.495
Zambia,-13.1339,27.8493,3.0,0.0,0.0,25272000000.0,1374.6770000000001,18383955,16.8,2.0,53.0,15.0,68.0,54.4,63.4,50.0
Zimbabwe,-19.0154,29.1549,3.0,0.0,0.0,25812000000.0,1736.6704,14862924,20.2,1.7,61.1,11.3,110.0,72.3,86.5,48.9796
