Country,Confirmed,Deaths,Recovered,GDP,GDP Per Capita,Population,Median Age
Malaysia,566.0,0.0,42.0,401985000000.0,12420,32365999.0,28.7
Maldives,13.0,0.0,0.0,6213000000.0,11494,540544.0,28.6
Malta,30.0,0.0,2.0,16338000000.0,37002,441543.0,41.8
Mauritania,1.0,0.0,0.0,5697000000.0,1225,4649658.0,20.7
Mexico,53.0,0.0,4.0,1297750000000.0,10065,128932753.0,28.6
Moldova,23.0,0.0,0.0,12793000000.0,3171,4033963.0,37.0
Monaco,7.0,0.0,0.0,0.0,164823,39242.0,53.8
Mongolia,1.0,0.0,0.0,14960000000.0,4563,3278290.0,28.8
Morocco,29.0,1.0,1.0,129056000000.0,3496,36910560.0,29.7
Namibia,2.0,0.0,0.0,14627000000.0,5757,2540905.0,21.4
Nepal,1.0,0.0,1.0,33035000000.0,1134,29136808.0,24.5
Netherlands,1414.0,24.0,2.0,954931000000.0,55730,17134872.0,42.7
New Zealand,8.0,0.0,0.0,224943000000.0,46647,4822233.0,38.1
Nigeria,2.0,0.0,0.0,496122000000.0,2407,206139589.0,18.3
Norway,1333.0,3.0,1.0,438623000000.0,80908,5421241.0,39.3
Oman,22.0,0.0,9.0,84158000000.0,16480,5106626.0,25.8
Pakistan,136.0,0.0,2.0,0.0,1279,220892340.0,24.1
Panama,55.0,1.0,0.0,75494000000.0,17497,4314767.0,29.5
Paraguay,8.0,0.0,0.0,45376000000.0,6362,7132538.0,28.7
Peru,86.0,0.0,0.0,244163000000.0,7405,32971854.0,28.4
Philippines,142.0,12.0,2.0,389048000000.0,3550,109581078.0,23.7
Poland,177.0,4.0,13.0,643274000000.0,16997,37846611.0,41.1
Portugal,331.0,0.0,3.0,249912000000.0,24509,10196709.0,43.7
Puerto Rico,3.0,0.0,0.0,104117000000.0,36394,2860853.0,42.2
Qatar,439.0,0.0,4.0,204008000000.0,70810,2881053.0,33.4
Republic of the Congo,1.0,0.0,0.0,11367000000.0,2060,5518087.0,18.8
Romania,158.0,0.0,9.0,263133000000.0,13678,19237691.0,41.6
Russia,90.0,0.0,8.0,1667460000000.0,11426,145934462.0,39.8
Rwanda,5.0,0.0,0.0,11062000000.0,854,12952218.0,19.2
Saint Lucia,2.0,0.0,0.0,2069000000.0,11267,183627.0,35.5
Saint Vincent and the Grenadines,1.0,0.0,0.0,903000000.0,8140,110940.0,34.2
San Marino,109.0,7.0,4.0,1672000000.0,49276,33931.0,44.7
Saudi Arabia,118.0,0.0,2.0,790062000000.0,22694,34813871.0,29.9
Senegal,24.0,0.0,2.0,28062000000.0,1676,16743927.0,19.0
Serbia,55.0,0.0,1.0,56886000000.0,6511,8737371.0,42.8
Seychelles,3.0,0.0,0.0,1739000000.0,17682,98347.0,35.8
Singapore,243.0,0.0,109.0,391875000000.0,66983,5850342.0,34.9
Slovakia,63.0,0.0,0.0,117399000000.0,21503,5459642.0,41.0
Slovenia,253.0,1.0,0.0,58213000000.0,28001,2078938.0,44.2
Somalia,1.0,0.0,0.0,8341000000.0,525,15893222.0,18.2
South Africa,62.0,0.0,0.0,386727000000.0,6521,59308690.0,27.4
Spain,9942.0,342.0,530.0,1497080000000.0,32020,46754778.0,43.1
Sri Lanka,28.0,0.0,1.0,89942000000.0,4200,21413249.0,33.1
Sudan,1.0,1.0,0.0,0.0,1890,43849260.0,17.9
Suriname,1.0,0.0,0.0,3919000000.0,6681,586632.0,30.2
Sweden,1103.0,6.0,1.0,576720000000.0,57105,10099265.0,41.1
Switzerland,2200.0,14.0,4.0,740702000000.0,85585,8654622.0,42.5
Taiwan,67.0,1.0,20.0,633695000000.0,26607,23816775.0,41.3
Tanzania,1.0,0.0,0.0,64888000000.0,1086,59734218.0,17.9
Thailand,147.0,1.0,35.0,547431000000.0001,7843,69799978.0,38.1
Togo,1.0,0.0,0.0,6132000000.0,741,8278724.0,19.9
Trinidad and Tobago,4.0,0.0,0.0,23235000000.0,16603,1399488.0,36.6
Tunisia,20.0,0.0,0.0,35150000000.0,2974,11818619.0,32.0
Turkey,18.0,0.0,0.0,809555000000.0,9599,84339067.0,31.4
Ukraine,7.0,1.0,0.0,147170000000.0,3365,43733762.0,40.8
United Arab Emirates,98.0,0.0,23.0,449130000000.0,45411,9890402.0,37.2
United Kingdom,1551.0,56.0,21.0,2927080000000.0,43118,67886011.0,40.5
United States,4632.0,85.0,17.0,22198120000000.0,67063,331002651.0,38.2
Uruguay,8.0,0.0,0.0,63421000000.0,18257,3473730.0,35.1
Uzbekistan,6.0,0.0,0.0,55482000000.0,1658,33469203.0,29.1
Venezuela,17.0,0.0,0.0,70106000000.0,2465,28435940.0,28.7
Vietnam,61.0,0.0,16.0,282372000000.0,2901,97338579.0,30.9
